"GEOID","NAME","year","Estimate!!Total","Estimate!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"34","New Jersey",2014,8938175,4363391,271309,280503,292690,183423,116075,58647,60779,175678,290645,288203,288560,294837,313927,336277,299888,105860,148605,88590,111057,134175,93780,66055,63828,4574784,260859,270485,280283,172645,105530,54577,58216,168545,277917,290573,281086,312783,333271,352895,323467,119056,157956,97231,121798,176669,123998,104784,130160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","New Mexico",2014,2085572,1032779,69600,70875,71762,42398,31962,14728,15640,48763,71223,70786,58960,63799,59930,69025,66131,26014,36627,22081,30328,36096,26405,17444,12202,1052793,65816,71043,68622,39962,28525,16343,13110,42601,66972,67275,63086,59715,62598,72475,72709,28562,39849,25589,30591,41139,31380,23953,20878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","New York",2014,19746227,9574309,602093,589130,595271,369832,274959,152681,146620,424999,736776,678671,611240,617633,658993,696153,647690,233555,313042,188864,242079,297780,211490,149563,135195,10171918,580199,561029,570433,357286,266295,141024,141693,433071,737795,692606,625453,653400,690899,741234,696980,257656,354156,224577,273988,376443,277943,228144,289614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","North Carolina",2014,9943964,4842403,308893,331846,338313,192893,145347,85012,78759,204640,318268,311546,305774,339346,324524,339319,316209,114346,153119,105387,136726,161253,106575,72145,52163,5101561,292649,320523,321767,183684,141514,68039,65043,203105,324831,325021,322054,353076,340459,358491,347821,131296,175288,119863,149529,196578,141637,107125,112168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","North Dakota",2014,739482,376324,25312,25647,20138,13394,13288,5198,9393,22536,30782,27474,22638,20330,20925,24754,24641,8860,13668,7674,8533,11025,8975,5471,5668,363158,24665,23868,21815,12687,11482,5364,6881,18964,25193,24544,19978,19251,20912,24672,25333,8811,11405,6622,8680,11716,9674,8959,11682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Ohio",2014,11594163,5676586,355624,375321,383255,237218,161173,85752,79991,231420,375720,358938,339385,365481,372361,412768,410532,150074,203842,125150,149389,193244,142052,89120,78776,5917577,333811,360673,362884,226854,156772,80045,75371,230539,371089,361623,340226,372914,380503,432739,437087,161005,214305,137512,165895,232479,180422,133026,169803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Oklahoma",2014,3878051,1920562,135505,141423,132770,80622,58911,29554,28990,85541,132627,132767,122859,117048,113468,130936,123294,46641,58862,38710,48643,63676,45506,29870,22339,1957489,128293,133230,126090,74360,53171,28596,29437,81673,130308,131914,113671,122526,113126,132765,129690,47884,67931,41173,57546,73181,55343,41457,44124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Oregon",2014,3970239,1964293,115247,122200,125526,76321,51756,29242,26295,79203,134531,136178,131379,133498,123690,128705,129949,54941,77974,46368,59160,73708,47996,29454,30972,2005946,111221,118470,119481,70249,47032,29123,26317,75599,132013,138018,126134,130864,122108,133305,139029,58019,82396,50122,63436,83223,53274,42309,54204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pennsylvania",2014,12787209,6253250,362804,374011,398927,244845,184652,92389,87553,259161,427490,396624,366256,392016,420332,466683,461098,170877,229526,139587,179962,218594,161058,115508,103297,6533959,348656,357342,382898,230695,177753,91906,88443,246309,416883,394954,356953,402967,433753,479809,480694,184628,243223,156358,195204,264102,203946,174751,221732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Rhode Island",2014,1055173,511650,28216,30584,30186,20183,17246,9413,7110,24118,36749,33005,30856,31509,35516,38187,35871,11307,20683,9980,13330,18439,10869,9026,9267,543523,26640,26823,30652,19271,17563,10669,10460,20168,35472,32875,31240,32664,37755,41431,38945,14100,20526,12519,16885,18776,14515,14059,19515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","South Carolina",2014,4832482,2351359,147690,160417,153800,91425,72803,42337,38703,99704,156233,148362,141324,152954,150499,161763,151899,60580,83498,54600,75137,89210,57489,33752,27180,2481123,139238,151168,151034,88912,67445,31309,36160,99408,159968,153974,152171,156700,158539,175932,170428,66420,98102,61429,82989,105600,67979,51738,54480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","South Dakota",2014,853175,427381,31479,28142,30560,17608,13124,6097,6337,18714,28596,29227,24166,25747,24178,29396,29932,10473,14988,10746,11322,12244,9870,7834,6601,425794,28876,29852,28502,15874,12225,5675,6283,18339,26615,27165,23098,24004,23596,29124,28940,10844,16045,9195,12080,13357,11593,10225,14287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Tennessee",2014,6549352,3190199,202916,215227,215137,128638,90838,50932,47593,129163,213945,207035,202991,216282,211880,224680,212297,79851,108516,68662,90525,115954,74113,50111,32913,3359153,195439,204461,206838,123681,86589,47668,44473,134686,216905,216609,208551,218798,219357,237456,232090,86402,124615,85356,97521,131376,94329,72498,73455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Texas",2014,26956958,13384317,999785,1023881,1020697,591851,404720,214193,211247,592182,997311,985834,909516,910068,848186,868659,780642,279440,375776,222579,279061,355693,234753,155605,122638,13572641,946603,992466,971999,568554,368444,194754,202308,565386,953665,967920,911909,928775,855988,890150,826543,302991,398502,247561,309492,419266,297227,228145,223993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Vermont",2014,626562,308516,16610,16705,18260,11540,10551,5363,4473,13721,18324,17896,16111,19451,20051,23707,25061,9649,12102,8115,9079,13538,7196,5880,5133,318046,14271,17391,15261,11772,9601,3967,4883,13914,17845,18831,17457,19271,21029,25214,26670,9882,13073,7862,10833,13236,9297,8265,8221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Utah",2014,2942902,1479527,129197,130228,134190,72825,43610,20526,23350,79195,106474,114958,106657,91524,77222,77147,71436,26116,39353,22520,24792,34951,22402,16494,14360,1463375,120612,129795,120627,68075,42335,21460,26121,76022,104279,110652,102749,86526,75413,78121,75063,27511,38554,24278,27528,38449,32255,18541,18409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Virginia",2014,8326289,4092671,259667,266350,269238,157367,125933,61395,65574,177115,298634,290769,267053,279064,278227,295458,266858,96199,134890,84756,99006,132166,84617,55180,47155,4233618,247883,258101,252916,156015,118913,56637,60297,169593,289725,286523,266432,288022,286287,311275,285021,109891,146121,91597,113389,158012,108397,78092,94479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Washington",2014,7061530,3529597,226666,229863,228002,135705,93844,50561,50949,156394,264343,258417,233802,232536,227634,244672,237694,87666,120740,77807,90515,114406,69267,50120,47994,3531933,217540,223126,214078,127673,83494,47453,48428,143270,242599,247398,234931,223104,223878,247254,243399,93313,128588,78899,103103,127475,85627,65204,82099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","West Virginia",2014,1850326,914686,51405,54299,57182,33836,25195,13987,13457,35450,55581,55923,54367,60687,60308,64374,67223,25923,38305,25455,31181,34859,27947,14693,13049,935640,51147,51976,51962,31393,23050,14349,11694,33594,52875,55040,52939,59680,59147,67150,71265,27407,39101,25894,31266,41918,31478,25551,25764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Wisconsin",2014,5757564,2857982,173403,183965,192793,113806,80600,40788,43969,119437,181603,191682,176444,174342,190990,216237,204898,77875,104257,63066,74873,94976,66590,48326,43062,2899582,165685,179230,180088,110532,76802,40151,39469,118684,173683,185125,169502,173122,190428,219688,207780,77542,107244,63272,80128,107845,81830,65497,86255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Wyoming",2014,584153,297181,18697,20333,19531,11946,7761,4139,6072,12696,21626,22211,20419,16178,17398,19182,20978,7501,12960,6846,8812,8683,5786,4521,2905,286972,19232,20415,16726,10884,6960,4931,4082,10786,18893,20825,18028,16494,15488,20401,20259,9834,9955,7128,7299,10273,6469,6409,5201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Puerto Rico",2014,3548397,1704416,98195,108880,119508,76457,54383,31360,30689,76738,102210,103821,109424,110908,109923,106273,101832,42138,54010,36455,55832,67739,49552,32265,25824,1843981,86093,99287,114830,69495,52495,26952,27359,74999,110236,114223,114831,123103,120110,124858,117222,44898,73646,41528,65458,87417,65022,45375,44544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Mississippi",2015,2992333,1448495,93965,113808,97311,64221,49009,21040,24457,62147,96950,88000,94022,93008,85206,95930,97970,35718,45747,33372,36954,50177,34917,20199,14367,1543838,94884,100464,103754,59600,48624,23118,25100,58494,94465,94506,96689,101768,93762,100699,104263,38383,54290,31882,48631,61021,43881,32109,33451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Missouri",2015,6083672,2983645,191272,195984,200645,124384,88361,45189,45692,123601,199598,198015,184869,180208,185298,213708,202814,78878,109078,62388,82928,105934,74330,48723,41748,3100027,183098,198019,183196,115968,81433,41575,41436,126607,199044,199552,190603,178064,189005,219294,225676,81304,111256,69011,94508,125434,91443,71674,82827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Montana",2015,1032949,519026,30602,32316,32485,20039,16088,8419,6664,22283,31590,34025,31031,29722,29927,34947,35651,15988,22062,14673,17793,20202,14701,10067,7751,513923,29818,32529,30761,17677,12952,5712,6594,21681,31310,31732,31808,26072,28493,35580,38572,16058,22830,13067,15987,23668,15670,12192,13160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Nebraska",2015,1896190,942589,66216,66176,68926,39160,26676,14358,15875,41690,62232,66796,62351,56616,52744,61869,61594,24096,31929,19238,22446,30865,20732,14899,15105,953601,64448,65922,62708,37074,27122,13098,14573,39585,57980,65644,61514,51965,54481,62007,64575,22595,32904,19200,25940,35162,26638,20853,27613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Nevada",2015,2890845,1447456,91243,99906,92588,56390,34100,17593,18757,59274,107118,101953,99288,96787,100557,98852,90792,33257,49537,30058,43696,54343,36143,21303,13921,1443389,85690,91327,97196,54215,30966,18837,18829,55767,102687,100152,93826,98221,95022,96419,90407,37901,53279,32159,46223,57873,38386,24695,23312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","New Hampshire",2015,1330608,657716,33382,35276,40474,25676,20550,8684,9977,27177,39897,39587,36078,41335,46603,54367,54731,18135,26379,15830,20824,25971,16708,10154,9921,672892,30127,34553,39192,24651,20874,8044,9256,25501,38066,37765,35887,43114,48622,55781,55654,20722,26134,16598,22843,27305,20712,13609,17882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","New Jersey",2015,8958013,4374892,271020,279420,288642,183414,114064,59072,61851,173479,291043,291221,282908,293642,312738,332533,315510,108027,143291,84165,116984,143353,97020,65803,65692,4583121,258234,268746,278133,171256,107996,54883,55146,166273,281557,288159,292303,300044,328049,350206,330636,120415,161151,96836,141880,171102,121537,104775,133804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","New Mexico",2015,2085109,1035143,69734,72077,71791,42125,29552,13738,15948,47509,72900,69345,66498,58905,58526,66816,68866,25417,35655,24768,27366,40112,25767,16802,14926,1049966,64496,69476,68546,41171,27904,15604,16506,41384,63879,66302,58245,63024,59537,71845,73140,27774,40280,26208,34910,43274,29953,22461,24047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","New York",2015,19795791,9616592,608138,583125,592975,374891,265499,143388,142335,423553,746737,685579,617387,609041,654188,690102,652623,242415,322833,198159,251396,307082,220110,146813,138223,10179199,576950,552240,569946,354902,260309,148970,142252,414845,747344,695920,644018,628326,683366,733308,699846,271398,354595,226265,299081,379808,285144,217864,292502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","North Carolina",2015,10042802,4896006,307442,325417,338814,199908,148066,73977,78340,222422,325820,310159,310971,330301,328893,336393,319016,121942,159246,108538,142246,167005,114717,72693,53680,5146796,291416,317173,315697,192183,138099,65044,71448,194712,338870,323281,324365,347249,340908,358213,351393,131872,188207,116017,169225,203944,146862,107406,113212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","North Dakota",2015,756928,388152,25737,25734,21733,13890,12449,8080,7178,21736,33827,29465,23898,22717,20420,24884,24661,10196,13355,8298,8958,10719,8140,6322,5755,368776,26435,24127,21502,12156,11178,4915,5203,22858,25923,24885,20601,19324,18810,24455,25063,8600,13576,6007,8885,13723,8890,8817,12843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Ohio",2015,11613423,5683951,351987,370501,383538,239727,160823,82692,82251,225291,383942,359632,348024,347470,369287,407807,403897,154728,213394,127082,168171,190697,133423,94632,84955,5929472,337301,348361,370286,228107,151063,80783,81585,222657,380065,362724,343785,361532,376886,421685,432361,159816,229881,140073,187849,230425,175710,134226,172311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Oklahoma",2015,3911338,1939555,135977,141068,135902,81123,58427,30283,28501,86713,135959,135299,122410,119025,112902,125959,123300,47520,63203,39458,50458,66435,45400,29370,24863,1971783,126974,130760,132205,77088,53359,27513,28481,79101,131969,132728,116290,121658,114292,128592,129492,51034,70200,42295,59428,76185,58401,42100,41638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Oregon",2015,4028977,1992162,117053,121235,123921,77500,49840,25132,27241,81716,140297,139215,145395,121401,127005,130461,127554,56349,79388,46297,67452,76519,50176,32461,28554,2036815,112086,123415,114278,71664,48825,25910,27204,77496,134134,139664,139310,121269,126998,133365,137412,58891,86575,52477,71995,81406,58250,41546,52645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pennsylvania",2015,12802503,6262246,366394,380917,384265,246697,182500,94081,90952,250472,431677,399117,371493,375444,418132,457851,462614,179274,228226,139807,192922,226100,161035,113716,108560,6540257,348498,369214,363499,232536,182129,86304,87896,240422,422187,395660,369291,385627,423814,474383,482456,185656,251632,155034,209366,276635,209158,173051,215809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Rhode Island",2015,1056298,511773,28105,30133,30910,19221,17563,9078,8307,21700,37727,34016,30082,31104,34110,37776,39490,12518,17043,12366,13834,17894,11947,9287,7562,544525,26288,31043,27148,19027,17839,9037,8818,21998,37561,33716,32081,30415,36234,40692,39768,16175,19043,11894,16811,21853,14719,12283,20082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
